,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
21,-3.1498,-14.7621,-3.3226,-44.3234,-185.4118,72.6909,-59.5547,-89.9673,-47.3171,-126.8227,-95.4131,-60.2304,-9.7815,-11.5618,-10.5986,-105.6823,-39.0191,6.5569,-5.0241,0,0,-118.5688,-65.3068,-81.5867,89.8715,56.8585,-10.2351,21.4447,-3.3551,4.3361,139.9129,33.1229,-11.3009,-8.0132,-2.4128,-19.3206,0,111.3184,16.4316,-2.6563,4.8493,33.1868,-0.20108,-0.15594,-7.2651,-14.7092,-2.9304,-7.9565,0,-226.6679,116.4966,-7.3286,37.9037,-40.5606,-62.9181,-5.0639
22,-1.9035,10.8587,7.8537,-33.9069,-112.1024,30.7962,25.6265,-6.3003,-26.4975,-59.4638,-89.3399,-20.7332,-6.4348,-9.5304,-8.889,-90.5364,7.6686,24.2365,-42.4328,0,-72.8945,0,-31.4095,-138.6639,80.4002,-21.9821,22.4797,109.1855,-2.3706,-13.78,0.47031,93.7421,-3.6288,-5.806,79.3942,-24.2102,0,47.8985,-8.0924,-16.8893,10.9252,-7.7592,-1.0616,-0.94516,-0.67448,5.6916,-0.96743,-1.1756,0,0,-40.7714,-18.6649,-40.3966,-108.061,-48.2402,-0.95711
23,-1.9505,-27.2338,-15.2245,-14.6891,-157.8168,-56.4701,-49.5,-129.4903,-31.6905,-60.7735,-109.8494,-48.3365,-55.7687,-9.7669,-2.2132,-62.8604,-21.8959,-20.0472,-47.8509,0,-31.175,5.4527,0,38.354,3.9796,30.4558,30.8627,-61.6248,0.35378,-7.5379,-60.8776,115.6708,-10.7044,3.6654,43.3974,-1.9629,0,6.0052,11.5431,0.55974,-13.0789,18.7925,-2.1768,-0.14608,-4.3077,47.9922,-2.1702,-6.3898,0,-12.1205,36.298,-11.4933,-6.1598,38.1317,-45.1654,-9.719
24,1.1265,11.8294,1.0012,26.1671,-144.7157,23.8463,-22.168,-94.3931,-27.0943,-71.2996,-40.6115,-27.3403,-50.2476,11.889,-15.0498,-79.6285,-74.3929,-32.9905,-18.0076,0,-72.657,-66.8804,-21.0058,0,14.1311,-10.9176,2.8021,103.8533,0.91146,-10.7464,247.6126,95.0174,-4.0437,-7.3808,-15.2506,33.8117,0,21.0856,-12.8377,-9.0471,1.1798,-34.6958,-0.073736,-0.59863,-4.2169,-5.9404,0.01562,-3.4311,0,-175.5352,77.1727,-10.3827,-64.6673,-26.8578,-2.7824,0.22717
25,-0.55589,-40.7434,-30.3356,5.8955,-50.4947,4.414,39.4722,-101.9334,-43.6923,-78.3559,45.2525,30.3349,-10.9398,-4.7217,-46.0752,433.4519,-44.6751,-42.8072,80.704,0,103.4056,136.3601,45.86,30.5681,0,4.4723,50.9287,46.5575,0,-5.3804,-61.8347,-58.9219,-11.3419,0.31498,24.84,-32.6352,0,-34.7552,-18.0823,33.7542,-9.9801,-50.3593,-0.98882,-1.5424,-9.4553,-12.4055,0.34218,-11.8128,0,34.967,-136.0802,-3.9603,-32.5765,-27.779,79.1466,-11.7564
26,-1.3331,-2.3482,-12.055,-12.7332,-93.9951,-19.5594,-8.5059,-62.481,-11.3037,-50.9745,-27.7815,-13.6128,-23.8672,-1.4097,265.6029,-33.9025,-32.362,21.3156,-19.6662,0,-51.592,-52.7483,-10.0568,-10.1706,-12.9294,0,-2.2197,-19.2813,-1.2952,2.6795,-38.5975,-20.6625,-11.1878,-4.0982,-10.685,-10.6118,0,-67.4426,-16.5017,-14.0739,7.1318,-2.9089,-0.24608,-0.19084,-0.765,-9.7467,-0.26198,-0.79505,0,84.0893,-9.4802,3.7848,-21.3843,144.3787,-20.393,-0.97774
27,-0.835,3.1574,8.7026,-16.3693,1.8652,18.5814,-6.8029,38.6153,-5.191,-18.6798,2.6039,4.7744,-17.8924,3.0041,-9.4519,66.3305,-17.6219,-8.7858,80.9218,0,-11.131,-4.7478,43.2677,27.2265,99.0307,-7.5658,0,-13.6241,-0.60681,0.55781,-19.8854,8.7795,51.9314,-3.6969,12.023,21.9408,0,-5.1608,-7.2866,112.4701,9.336,-6.4155,-0.69206,-0.86311,13.7571,25.9829,0.15989,-0.28933,0,17.1336,39.7415,-3.9868,-12.7105,43.3992,-17.5526,-2.7869
28,-1.1475,-5.7152,-12.3556,-26.4846,124.5417,-1.9002,32.7358,-5.5109,-33.6263,-77.561,-64.6212,-45.7423,19.2425,-4.8237,-25.1113,-87.6242,-33.0029,-6.5551,-58.6257,0,50.7162,143.0883,-118.5623,-10.4771,14.0759,-42.911,-5.1189,0,6.0263,-13.1486,-107.264,39.6423,-8.0289,-0.32283,18.6069,-23.8292,0,65.6636,-9.1263,-8.9673,-13.749,-36.8547,-1.0991,-0.38187,-10.2756,-10.1617,1.5028,-4.5928,0,24.7464,57.7205,8.8512,-61.1541,10.8906,25.1884,1.6584
29,-0.047002,-1.4113,0.033022,-0.69379,-2.404,6.6096,-1.1259,-1.7758,-0.969,-0.8018,2.5841,-1.9248,1.6725,-0.28912,-0.87444,3.3005,-1.41,-1.6631,-0.6168,0,-2.8728,-3.1365,-1.8644,1.0789,0,-1.6341,-0.44358,3.8472,0,-0.31902,-2.3473,-2.0874,-0.42288,-0.1965,-1.1241,-1.3934,0,-1.6747,-0.75898,-0.81939,-0.45938,-2.3237,-0.058816,-0.045613,-0.32612,0.65008,-0.15009,-0.22668,0,-0.65324,0,0.67723,-1.6578,1.558,-1.9834,-0.28961
30,-0.65009,-0.12562,13.3449,-1.5907,11.7697,5.4045,5.2335,15.0008,4.0996,19.6242,5.763,-2.1394,-7.3512,2.0233,4.9191,-8.9204,4.6668,2.505,3.4096,0,-9.2951,-19.2905,-3.807,-13.0298,-0.92689,7.9639,-1.2041,-14.3011,-0.28685,0,-16.2279,-10.4547,81.8319,-2.3517,29.223,48.3969,0,-14.6777,12.3081,119.5228,18.07,1.0707,-0.59678,5.1085,41.7772,3.8276,2.3614,12.8235,0,-5.3001,-8.3693,-3.7882,20.2921,-15.0779,-4.7,7.326
31,-1.3532,-21.9919,-12.6825,-19.261,72.4176,-27.4159,-30.0136,20.7161,-12.6133,-44.8032,-50.9106,-24.4362,-39.9365,-3.5718,-36.2412,-61.0535,-53.8364,-11.6161,-29.6296,0,131.4576,-18.1046,-61.3799,260.029,-65.2847,-38.3792,-18.8271,-107.5397,-0.30407,-15.7153,0,336.71,-10.153,-5.3316,-25.1454,-31.4452,0,0,-22.3977,-12.8043,-7.5025,-23.5402,-0.6527,-0.22678,-3.4823,18.2829,-0.31132,-3.3214,0,-92.8755,-51.2922,-3.7578,-57.4208,-65.1439,-25.3633,-1.1619
32,-1.3387,-18.5648,-6.8865,-16.4385,-11.9379,28.1722,-13.3038,56.7262,-11.6655,-29.8741,-5.5826,-2.4691,-13.0264,-0.074668,-7.8008,-35.5412,-36.5768,-9.0989,-19.3287,0,62.8987,108.7013,62.2663,74.3259,-29.5443,-39.7112,10.3554,6.3027,-0.86436,-9.3782,26.2849,0,-6.2876,-3.9723,-18.8425,-13.094,0,320.2186,-11.2451,-0.78785,-8.3787,-20.8291,-1.0061,-0.78028,-6.4422,38.3324,0.47148,1.3494,0,104.7099,-28.5127,-3.9877,-12.9592,59.8251,20.9073,-1.4082
33,-0.87248,3.3968,2.7037,-3.9065,-3.5822,3.0424,-7.2241,-15.525,2.0219,10.9125,1.8358,17.3631,-3.7179,-1.1915,-6.7568,-5.8629,-7.6985,8.6005,43.0309,0,-18.2116,-7.9218,-6.8961,-7.1522,-7.8688,-9.681,32.4883,-4.7988,-0.34994,58.961,-8.5594,-3.8255,0,4.5646,21.0823,36.289,0,-4.4646,4.0612,123.5508,2.5784,-4.8787,5.414,-4.1076,66.7469,-0.50483,2.6715,8.0016,0,4.099,-1.8566,-2.0506,24.4734,0.1165,-7.1735,13.7783
