143,,Pont Street  Knightsbridge,51.4968865,-0.161203828,9,15,TRUE,FALSE,FALSE
144,,Kennington Cross  Kennington,51.48894022,-0.111435796,7,22,TRUE,FALSE,FALSE
145,,Ilchester Place  Kensington,51.50074359,-0.202759212,17,7,TRUE,FALSE,FALSE
146,,Vauxhall Bridge   Pimlico,51.48836528,-0.129361842,10,25,TRUE,FALSE,FALSE
147,,Portugal Street  Holborn,51.51494305,-0.11614642,16,0,TRUE,FALSE,FALSE
149,,Kennington Road Post Office  Oval,51.48478899,-0.110683213,1,17,TRUE,FALSE,FALSE
150,,Holy Trinity Brompton  Knightsbridge,51.49705603,-0.168917077,19,9,TRUE,FALSE,FALSE
151,,Chepstow Villas  Notting Hill,51.51213691,-0.201554966,1,25,TRUE,FALSE,FALSE
152,,Hampton Street  Walworth,51.49217002,-0.101536865,13,8,TRUE,FALSE,FALSE
153,,Bayswater Road  Hyde Park,51.51183419,-0.174292825,1,25,TRUE,FALSE,FALSE
360,,Waterloo Station 3  Waterloo,51.50379168,-0.11282408,0,35,TRUE,FALSE,FALSE
155,,Lexham Gardens  Kensington,51.49586666,-0.191933711,13,6,TRUE,FALSE,FALSE
156,,New Kent Road  Borough,51.49443626,-0.092921165,0,33,TRUE,FALSE,FALSE
157,,Wright's Lane  Kensington,51.50039792,-0.193068385,19,18,TRUE,FALSE,FALSE
158,,Trebovir Road  Earl's Court,51.49085368,-0.196170309,2,16,TRUE,FALSE,FALSE
159,,Great Marlborough Street  Soho,51.51461995,-0.137841333,26,0,TRUE,FALSE,FALSE
160,,Waterloo Place  St. James's,51.50663341,-0.131773845,20,0,TRUE,FALSE,TRUE
161,,Guildhouse Street  Victoria,51.49234577,-0.141334487,1,15,TRUE,FALSE,FALSE
162,,Southampton Place  Holborn,51.51760685,-0.121328408,7,13,TRUE,FALSE,FALSE
163,,Sloane Avenue  Knightsbridge,51.4931848,-0.167894973,10,20,TRUE,FALSE,FALSE
164,,Cleveland Gardens  Bayswater,51.515607,-0.183118788,0,16,TRUE,FALSE,FALSE
165,,Orsett Terrace  Bayswater,51.517932,-0.183716959,5,10,TRUE,FALSE,FALSE
166,,Seville Street  Knightsbridge,51.50185512,-0.159237081,27,0,TRUE,FALSE,FALSE
167,,Eccleston Place  Victoria,51.49395092,-0.147624377,6,13,TRUE,FALSE,FALSE
168,,Argyll Road  Kensington,51.50040123,-0.195455928,12,7,TRUE,FALSE,FALSE
169,,Porchester Place  Paddington,51.51474612,-0.165164288,4,14,TRUE,FALSE,FALSE
170,,Hardwick Street  Clerkenwell,51.52784273,-0.108068155,1,29,TRUE,FALSE,FALSE
171,,Collingham Gardens  Earl's Court,51.4916156,-0.186753859,3,11,TRUE,FALSE,FALSE
172,,Sumner Place  South Kensington,51.49121192,-0.173715911,17,2,TRUE,FALSE,FALSE
173,,Tachbrook Street  Victoria,51.49211134,-0.138364847,3,13,TRUE,FALSE,FALSE
175,,Appold Street  Liverpool Street,51.52174384,-0.0811189,23,3,TRUE,FALSE,FALSE
176,,Gloucester Terrace  Bayswater,51.51791921,-0.188098863,3,20,TRUE,FALSE,FALSE
177,,Ashley Place  Victoria,51.49616092,-0.140947636,9,16,TRUE,FALSE,FALSE
178,,Warwick Square  Pimlico,51.48985626,-0.141923621,3,16,TRUE,FALSE,FALSE
180,,North Audley Street  Mayfair,51.5129118,-0.153645496,6,11,TRUE,FALSE,FALSE
181,,Belgrave Square  Belgravia,51.49941247,-0.152317537,18,3,TRUE,FALSE,FALSE
182,,Bell Street   Marylebone,51.52202903,-0.165842551,1,17,TRUE,FALSE,FALSE
183,,Milford Lane  Temple,51.51201016,-0.112988179,18,0,TRUE,FALSE,FALSE
184,,Portland Place  Marylebone,51.52071513,-0.14521173,16,18,TRUE,FALSE,FALSE
185,,Alderney Street  Pimlico,51.48805753,-0.140741432,7,7,TRUE,FALSE,FALSE
186,,South Wharf Road  Paddington,51.51733558,-0.175810943,4,12,TRUE,FALSE,FALSE
187,,Queen's Gate (South)  South Kensington,51.49247977,-0.178433004,15,10,TRUE,FALSE,FALSE
188,,Nutford Place  Marylebone,51.5165179,-0.164393768,0,18,TRUE,FALSE,FALSE
189,,Claremont Square  Angel,51.53166681,-0.109914711,0,18,TRUE,FALSE,FALSE
190,,Rampayne Street  Pimlico,51.48997562,-0.132845681,14,7,TRUE,FALSE,FALSE
191,,Hyde Park Corner  Hyde Park,51.50311799,-0.153520935,16,12,TRUE,TRUE,FALSE
192,,Wardour Street  Soho,51.51251523,-0.133201961,12,4,TRUE,FALSE,FALSE
193,,Bankside Mix  Bankside,51.50581776,-0.100186337,32,1,TRUE,FALSE,FALSE
194,,Hop Exchange  The Borough,51.50462759,-0.091773776,32,4,TRUE,FALSE,FALSE
